"text,label"
"saya sangat senang hari ini,senang"
"pelayanan toko ini membuat saya bahagia,senang"
"aku merasa puas dengan hasilnya,senang"
"senyumku tidak hilang sepanjang hari,senang"
"ini pengalaman yang menyenangkan,senang"
"aku kecewa dengan kejadian ini,sedih"
"hari ini aku merasa sangat sedih,sedih"
"aku menangis karena kehilangan itu,sedih"
"perasaanku hancur saat ini,sedih"
"aku merasa putus asa,sedih"
"aku sangat marah dengan sikapnya,marah"
"perlakuannya membuatku emosi,marah"
"aku kesal dengan pelayanan ini,marah"
"ini benar benar membuatku marah,marah"
"aku tidak bisa menahan amarahku,marah"
"aku takut menghadapi ujian besok,takut"
"perasaan cemas menghantuiku,takut"
"aku khawatir akan masa depan,takut"
"aku merasa gelisah sepanjang malam,takut"
"situasi ini membuatku takut,takut"
"hari ini biasa saja,netral"
"tidak ada yang spesial hari ini,netral"
"aku hanya menjalani hari seperti biasa,netral"
"kegiatan hari ini normal,netral"
"semuanya berjalan seperti biasanya,netral"
"aku senang bisa bertemu teman lama,senang"
"aku bahagia mendapat kabar baik,senang"
"aku merasa lega setelah masalah selesai,senang"
"aku sedih mengingat masa lalu,sedih"
"kehilangan itu membuatku terpuruk,sedih"
"aku marah karena dibohongi,marah"
"sikapnya sungguh menyebalkan,marah"
"aku takut gagal dalam ujian ini,takut"
"perasaan was was terus muncul,takut"
"aktivitas hari ini berjalan lancar,netral"
"tidak terjadi hal yang berarti,netral"
"aku cukup puas dengan hasil kerja,senang"
"aku merasa murung hari ini,sedih"
"emosiku meledak saat itu,marah"
"aku cemas menunggu hasil pengumuman,takut"
"hari berjalan tanpa kendala,netral"
"aku bahagia bisa membantu orang lain,senang"
"aku sedih harus berpisah,sedih"
"perlakuan itu membuatku emosi,marah"
"aku takut mengambil keputusan besar,takut"
"hari ini terasa datar,netral"
"aku merasa sangat gembira,senang"
"aku murung sepanjang hari,sedih"
"aku kesal dengan hasilnya,marah"
"aku khawatir dengan kondisimu,takut"
